Eel,Exposure,Date,Image,Observer,Eel_Total,Eel_Snout_Vent,Tube_Length,Crevice_Length,Anchor_Type,Body_Number,A1_Length,A1_Length_Prop,A1_Midpoint_Tube,A1_Tube_Prop,A1_Midpoint_Body,A1_Body_Prop,Origin_to_One,Origin_One_Prop,A2_Length ,A2_Length_Prop,A2_Midpoint_Tube,A2_Tube_Prop,A2_Midpoint_Body,A2_Body_Prop,One_to_Two,One_Two_Prop,A3_Length,A3_Length_Prop,A3_Midpoint_Tube,A3_Tube_Prop,A3_Midpoint_Body,A3_Body_Prop,Two_to_Three,Two_Three_Prop,A4_Length,A4_Length_Prop,A4_Midpoint_Tube,A4_Tube_Prop,A4_Midpoint_Body,A4_Body_Prop,Tail_Anchor_Point ,Tail_Anchor_Point_Prop ,TrueTail
Snickers,1,24-Jun,Snickers1_Body_A,Maya,51.6,25.2,29,26.984,body,4,4.093,0.079321705,5.265,0.195115624,5.7,0.208928571,5.7,0.226190476,NA,,NA,,NA,,NA,NA,2.387,0.04625969,17.647,0.653980136,22.033,0.874325397,NA,NA,4.2,0.166666667,24.188,0.896383042,30.829,25.2,,,
Horatio,2,7/1/24,Horatio2_Body_A,Maya,61,31,34.3,30.078,body,3,2.513,0.041196721,5.861,0.194860031,8.183,0.189064516,8.183,0.263967742,4.383,0.071852459,10.883,0.361825919,18.372,0.592645161,12.672,0.408774194,3.475,0.056967213,17.778,0.591063236,27.956,0.901806452,9.584,0.30916129,,,,,,,,,no
Snickers,3,22-Jul,Snickers3_Body_D,Maya,51.6,25.2,29,27.197,both,3,3.584,0.069457364,7.436,0.273412509,7.307,0.295079365,7.307,0.289960317,3.732,0.072325581,12.847,0.472368276,15.375,0.610119048,7.192,0.285396825,5.782,0.112054264,21.513,0.791006361,26.247,1.041547619,10.872,0.431428571,,,,,,,36.344,0.704341085,yes
Ernie,1,22-Jul,Ernie1_Body_A,Maya,52.5,26,29,26.729,both,3,4.166,0.079352381,5.426,0.203000486,7.298,0.208692308,7.298,0.280692308,4.762,0.090704762,12.963,0.484978862,15.94,0.613076923,8.633,0.332038462,5.048,0.096152381,22.353,0.836282689,26.532,1.020461538,10.592,0.407384615,,,,,,,32,0.60952381,yes
Snickers,4,5-Aug,Snickers4_Body_B,Maya,51.6,25.2,29,25.729,body,3,NA,,NA,,NA,,NA,NA,5.392,0.104496124,13.144,0.510863228,14.157,0.561785714,6.859,0.27218254,6.919,0.134089147,21.287,0.827354347,25.173,0.998928571,11.016,0.437142857,,,,,,,,,
Snickers,3,22-Jul,Snickers3_Body_C,Maya,51.6,25.2,29,25.509,both,3,NA,,NA,,NA,,NA,NA,3.301,0.063972868,15.581,0.61080403,17.012,0.675079365,NA,NA,4.012,0.077751938,23.457,0.919557803,26.332,1.044920635,9.32,0.36984127,,,,,,,32.59,0.631589147,yes
Eelvis,4,5-Aug,Eelvis4_Body_A,Maya,43.5,21.5,24.5,21.257,body,3,3.385,0.077816092,8.114,0.381709554,9.475,0.377395349,9.475,0.440697674,3.735,0.085862069,13.142,0.618243402,14.888,0.692465116,NA,NA,1.752,0.040275862,19.732,0.928258926,22.201,1.032604651,7.313,0.340139535,,,,,,,,,
Snickers,3,22-Jul,Snickers3_Body_B,Maya,51.6,25.2,29,24.576,body,3,NA,,NA,,NA,,NA,NA,3.7,0.071705426,15.66,0.637207031,15.882,0.630238095,6.407,0.254246032,2.9,0.05620155,20.741,0.843953451,22.493,0.892579365,6.611,0.26234127,,,,,,,,,
Snickers,2,7/13/24,Snickers2_Body_C,Sacha,51.6,25.2,29,24.83,body,3,2.32,0.04496124,8.89,0.358034636,8.98,0.352777778,8.98,0.356349206,3.11,0.060271318,17.7,0.712847362,19.24,0.763492063,NA,NA,1.35,0.026162791,24.36,0.981071285,26.6,1.055555556,7.36,0.292063492,,,,,,,,,
Bert,4,5-Aug,Bert4_Body_a,Avery,48,24,29,26.08,tail,2,3.19,0.066458333,10.047,0.38523773,10.086,0.418625,10.086,0.42025,4.19,0.087291667,14.95,0.573236196,15.77,0.657083333,6.79,0.282916667,,,,,,,,,,,,,,,27.46,0.572083333,yes
